code,filename,item,print_size,dpi
H1,H1-Hummus-Tahini.jpg,"Hummus Tahini",11x15.25in,300
H2,H2-Hummus-with-Warm-Chickpeas.jpg,"Hummus with Warm Chickpeas",11x15.25in,300
H3,H3-Falafel-Hummus.jpg,"Falafel Hummus",11x15.25in,300
H4,H4-Fava-Bean-Hummus.jpg,"Fava Bean Hummus",11x15.25in,300
H5,H5-Mushroom-Hummus.jpg,"Mushroom Hummus",11x15.25in,300
H6,H6-Hummus-Shakshuka.jpg,"Hummus Shakshuka",11x15.25in,300
H7,H7-Sloppy-Joe-Hummus.jpg,"Sloppy Joe Hummus",11x15.25in,300
H8,H8-Merguez-Sausage-Hummus.jpg,"Merguez Sausage Hummus",11x15.25in,300
H9,H9-Baby-Chicken-Hummus.jpg,"Baby Chicken Hummus",11x15.25in,300
H10,H10-Beef-Kebab-Hummus.jpg,"Beef Kebab Hummus",11x15.25in,300
P1,P1-Grilled-Baby-Chicken-Platter.jpg,"Grilled Baby Chicken Platter",11x15.25in,300
P2,P2-Beef-Kebab-Platter.jpg,"Beef Kebab Platter",11x15.25in,300
P3,P3-Merguez-Sausage-Platter.jpg,"Merguez Sausage Platter",11x15.25in,300
P4,P4-Chicken-Schnitzel-Platter.jpg,"Chicken Schnitzel Platter",11x15.25in,300
P5,P5-Beef-Arayes-Platter.jpg,"Beef Arayes Platter",11x15.25in,300
P6,P6-Shakshuka.jpg,"Shakshuka",11x15.25in,300
P7,P7-Falafel-Platter.jpg,"Falafel Platter",11x15.25in,300
V1,V1-Plant-Based-Meat-Hummus.jpg,"Plant-Based Meat Hummus",11x15.25in,300
S1,S1-The-King-Salad.jpg,"The King Salad",11x15.25in,300
S2,S2-Fattoush-Salad.jpg,"Fattoush Salad",11x15.25in,300
S3,S3-French-Fries.jpg,"French Fries",11x15.25in,300
S4,S4-Home-Fries.jpg,"Home Fries",11x15.25in,300
D1,D1-Coconut-Malabi.jpg,"Coconut Malabi",11x15.25in,300
B1,B1-Coca-Cola.jpg,"Coca-Cola",11x15.25in,300
